tag1,tag2,tag3
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
(, Fpa , O
Brasil, NC B-LOC, B-LOC
), Fpt , O
-, Fc , O
23, Z O, O
may, NC O, O
(, Fpa , O
EFECOM, NP B-ORG, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
La, DA O, O
multinacional, NC O, O
espa�ola, AQ O, O
Telefonica, AQ B-ORG, B-ORG
ha, VAI O, O
impuesto, VMP O, O
un, DI O, O
record, NC O, O
mundial, AQ O, O
al, SP O, O
poner, VMN O, O
en, SP O, O
servicio, NC O, O
tres, DN O, O
millones, NC O, O
de, SP O, O
nuevas, AQ O, O
lineas, NC O, O
en, SP O, O
el, DA O, O
estado, NC O, O
brasile�o, AQ O, O
de, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
desde, SP O, O
que, PR O, O
asumio, VMI O, O
el, DA O, O
control, NC O, O
de, SP O, O
la, DA O, O
operadora, NC O, O
Telesp, AQ B-ORG, B-ORG
hace, VMI O, O
20, Z O, O
meses, NC O, O
-, Fc , O
anuncio, VMI O, O
hoy, RG O, O
el, DA O, O
presidente, NC O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
do, NC I, I-ORG
Brasil, NC I-ORG, I-ORG
-, Fc , O
Fernando, NC B-PER, B-PER
Xavier, AQ I-PER, I-PER
Ferreira, AQ I-PER, I-PER
0, Fp , O
,,
En, SP O, O
un, DI O, O
balance, NC O, O
que, PR O, O
hizo, VMI O, O
de, SP O, O
la, DA O, O
gestion, NC O, O
de, SP O, O
Telefonica, AQ B-ORG, B-ORG
en, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
desde, SP O, O
agosto, NC O, O
de, SP O, O
1998, Z O, O
-, Fc , O
Ferreira, NC B-PER, B-PER
subrayo, VMI O, O
que, CS O, O
la, DA O, O
empresa, NC O, O
ha, VAI O, O
cumplido, VMP O, O
todas, DI O, O
las, DA O, O
metas, NC O, O
fijadas, AQ O, O
por, SP O, O
el, DA O, O
organo, NC O, O
regulador, AQ O, O
del, SP O, O
sector, NC O, O
-, Fc , O
la, DA O, O
Agencia, NC B-ORG, B-ORG
Nacional, AQ I-ORG, I-ORG
de, SP I, I-ORG
Telecomunicaciones, NC I-ORG, I-ORG
(, Fpa , O
ANATEL, NP B-ORG, B-ORG
), Fpt , O
-, Fc , O
en, SP O, O
cuanto, RG O, O
a, SP , O
universalizacion, NC O, O
y, CC , O
calidad, NC O, O
del, SP O, O
servicio, NC O, O
prestado, VMP O, O
0, Fp , O
,,
-, Fe , O
Telefonica, AQ B-ORG, B-ORG
asumio, VMI O, O
un, DI O, O
compromiso, NC O, O
con, SP O, O
Brasil, NC B-LOC, B-LOC
-, Fc , O
y, CC , O
en, SP O, O
especial, AQ O, O
con, SP O, O
Sao, NC B-, B-LOC
Paulo, VMI I-LO, I-LOC
en, SP O, O
1998, Z O, O
(, Fpa , O
a�o, NC O, O
de, SP O, O
privatizacion, NC O, O
del, SP O, O
sistema, NC O, O
Telebras, AQ B-MISC, B-MISC
), Fpt , O
y, CC , O
estamos, VMI O, O
aqui, RG O, O
para, SP O, O
prestar, VMN O, O
cuentas, NC O, O
-, Fe , O
-, Fc , O
dijo, VMI O, O
Ferreira, NC B-PER, B-PER
en, SP O, O
el, DA O, O
acto, NC O, O
de, SP O, O
instalacion, NC O, O
de, SP O, O
