tag1,tag2,tag3
Melbourne, NP B-LOC, B-LOC
(, Fpa , O
Australia, NP B-LOC, B-LOC
), Fpt , O
-, Fc , O
25, Z O, O
may, NC O, O
(, Fpa , O
EFE, NC B-, B-ORG
), Fpt , O
0, Fp , O
,,
-, Fg , O
,,
El, DA O, O
Abogado, NC B-PER, B-PER
General, AQ I-PER, I-PER
del, SP I-, I-PER
Estado, NC I-PER, I-PER
-, Fc , O
Daryl, VMI B-PE, B-PER
Williams, NC I-PER, I-PER
-, Fc , O
subrayo, VMI O, O
hoy, RG O, O
la, DA O, O
necesidad, NC O, O
de, SP O, O
tomar, VMN O, O
medidas, NC O, O
para, SP O, O
proteger, VMN O, O
al, SP O, O
sistema, NC O, O
judicial, AQ O, O
australiano, AQ O, O
frente, RG O, O
a, SP , O
una, DI O, O
pagina, NC O, O
de, SP O, O
internet, NC O, O
que, PR O, O
imposibilita, VMI O, O
el, DA O, O
cumplimiento, NC O, O
de, SP O, O
los, DA O, O
principios, NC O, O
basicos, AQ O, O
de, SP O, O
la, DA O, O
Ley, NC B-, B-MISC
0, Fp , O
,,
La, DA O, O
peticion, NC O, O
del, SP O, O
Abogado, NC B-PER, B-PER
General, AQ I-PER, I-PER
tiene, VMI O, O
lugar, NC O, O
despues, RG O, O
de, SP O, O
que, CS O, O
un, DI O, O
juez, NC O, O
del, SP O, O
Tribunal, NC B-ORG, B-ORG
Supremo, AQ I-ORG, I-ORG
del, SP O, O
estado, NC O, O
de, SP O, O
Victoria, NC B-LOC, B-LOC
(, Fpa , O
Australia, NP B-LOC, B-LOC
), Fpt , O
se, P0 O, O
viera, VMS O, O
forzado, AQ O, O
a, SP , O
disolver, VMN O, O
un, DI O, O
jurado, NC O, O
popular, AQ O, O
y, CC , O
suspender, VMN O, O
el, DA O, O
proceso, NC O, O
ante, SP O, O
el, DA O, O
argumento, NC O, O
de, SP O, O
la, DA O, O
defensa, NC O, O
de, SP O, O
que, CS O, O
las, DA O, O
personas, NC O, O
que, PR O, O
lo, PP O, O
componian, VMI O, O
