La, DA B, B-LOC,
Coruña, NC I-LOC, I-LOC,
., Fc , O,
23, Z O, O,
may, NC O, O,
(, Fpa , O,
EFECOM, NP B-ORG, B-ORG,
), Fpt , O,
., Fp , O,

-, Fg , O,

Las, DA O, O,
reservas, NC O, O,
", Fe , O,
on, NC O, O,
line, AQ O, O,
", Fe , O,
de, SP O, O,
billetes, NC O, O,
aereos, AQ O, O,
a, SP , O,
traves, NC O, O,
de, SP O, O,
Internet, NC B-MISC, B-MISC,
aumentaron, VMI O, O,
en, SP O, O,
España, VMN B-LOC, B-LOC,
un, DI O, O,
300, Z O, O,
por, SP O, O,
ciento, PN O, O,
en, SP O, O,
el, DA O, O,
primer, AO O, O,
trimestre, NC O, O,
de, SP O, O,
este, DD O, O,
año, NC O, O,
con, SP O, O,
respecto, NC O, O,
al, SP O, O,
mismo, DI O, O,
periodo, NC O, O,
de, SP O, O,
1999, Z O, O,
., Fc , O,
aseguro, VMI O, O,
hoy, RG O, O,
Iñigo, AQ B-PE, B-PER,
Garcia, NC I-PER, I-PER,
Aranda, AQ I-PER, I-PER,
., Fc , O,
responsable, AQ O, O,
de, SP O, O,
comunicacion, NC O, O,
de, SP O, O,
Savia, NC B-OR, B-ORG,
Amadeus, AQ I-ORG, I-ORG,
., Fp , O,

Garcia, NC B-PER, B-PER,
Aranda, AQ I-PER, I-PER,
presento, VMI O, O,
a, SP , O,
la, DA O, O,
prensa, NC O, O,
el, DA O, O,
sistema, NC O, O,
Amadeus, AQ B-MISC, B-MISC,
., Fc , O,
que, PR O, O,
utilizan, VMI O, O,
la, DA O, O,
mayor, AQ O, O,
parte, NC O, O,
de, SP O, O,
las, DA O, O,
agencias, NC O, O,
de, SP O, O,
viajes, NC O, O,
españolas, AQ O, O,
para, SP O, O,
reservar, VMN O, O,
billetes, NC O, O,
de, SP O, O,
avion, NC O, O,
o, CC , O,
tren, NC O, O,
., Fc , O,
asi, RG O, O,
como, CS O, O,
plazas, NC O, O,
de, SP O, O,
hotel, NC O, O,
., Fc , O,
y, CC , O,
que, PR O, O,
ahora, RG O, O,
pueden, VMI O, O,
utilizar, VMN O, O,
tambien, RG O, O,
los, DA O, O,
usuarios, AQ O, O,
finales, NC O, O,
a, SP , O,
traves, NC O, O,
de, SP O, O,
Internet, NC B-MISC, B-MISC,
., Fp , O,

Los, DA O, O,
clientes, NC O, O,
pueden, VMI O, O,
utilizar, VMN O, O,
el, DA O, O,
portal, NC O, O,
", Fe , O,
viajesydestinos.com, NC B-MISC, B-MISC,
", Fe , O,
., Fc , O,
que, PR O, O,
el, DA O, O,
pasado, AQ O, O,
año, NC O, O,
recibio, VMI O, O,
ya, RG O, O,
mas, RG O, O,
de, SP O, O,
medio, DN O, O,
millon, NC O, O,
de, SP O, O,
visitas, NC O, O,
de, SP O, O,
Internautas, NC B-MISC, B-MISC,
., Fc , O,
para, SP O, O,
consultar, VMN O, O,
tarifas, NC O, O,
de, SP O, O,
billetes, NC O, O,
de, SP O, O,
transporte, NC O, O,
., Fc , O,
plazas, NC O, O,
hoteleras, AQ O, O,
o, CC , O,
paquetes, NC O, O,
turisticos, AQ O, O,
., Fc , O,
aunque, CS O, O,
la, DA O, O,
venta, NC O, O,
final, AQ O, O,
corre, VMI O, O,
siempre, RG O, O,
a, SP , O,
cargo, NC O, O,
de, SP O, O,
una, DI O, O,
agencia, NC O, O,
de, SP O, O,
viajes, NC O, O,
., Fc , O,
explico, VMI O, O,
el, DA O, O,
responsable, NC O, O,
de, SP O, O,
Savia, NC B-OR, B-ORG,
Amadeus, AQ I-ORG, I-ORG,
., Fp , O,

Arevalo, NC B-LOC, B-LOC,
(, Fpa , O,
Avila, VMM B-LO, B-LOC,
), Fpt , O,
., Fc , O,
23, Z O, O,
may, NC O, O,
(, Fpa , O,
EFE, NC B-, B-ORG,
), Fpt , O,
., Fp , O,

-, Fg , O,

La, DA O, O,
Guardia, NC B-ORG, B-ORG,
Civil, AQ I-OR, I-ORG,
ha, VAI O, O,
montado, VMP O, O,
un, DI O, O,
dispositivo, NC O, O,
de, SP O, O,
vigilancia, NC O, O,
en, SP O, O,
un, DI O, O,
grupo, NC O, O,
de, SP O, O,
viviendas, NC O, O,
sociales, AQ O, O,
construidas, AQ O, O,
por, SP O, O,
la, DA O, O,
Junta, NC B-OR, B-ORG,
en, SP O, O,
Arevalo, NC B-LOC, B-LOC,
ante, SP O, O,
el, DA O, O,
riesgo, NC O, O,
de, SP O, O,
ser, VSN O, O,
ocupadas, VMP O, O,
de, SP O, O,
manera, NC O, O,
ilegal, AQ O, O,
despues, RG O, O,
de, SP O, O,
que, CS O, O,
una, DI O, O,
familia, NC O, O,
intentara, VMS O, O,
habitar, VMN O, O,
uno, PI O, O,
de, SP O, O,
los, DA O, O,
pisos, NC O, O,
., Fc , O,
que, PR O, O,
hubo, VAI O, O,
de, SP O, O,
ser, VSN O, O,
precintado, VMP O, O,
., Fp , O,

En, SP O, O,
declaraciones, NC O, O,
a, SP , O,
Efe, NC B-, B-ORG,
., Fc , O,
el, DA O, O,
alcalde, NC O, O,
de, SP O, O,
Arevalo, NC B-LOC, B-LOC,
., Fc , O,
Francisco, AQ B-PER, B-PER,
Leon, NC I-P, I-PER,
(, Fpa , O,
PSOE, NP B-O, B-ORG,
), Fpt , O,
., Fc , O,
lamento, VMI O, O,
la, DA O, O,
", Fe , O,
tardanza, NC O, O,
", Fe , O,
de, SP O, O,
la, DA O, O,
Consejeria, NC B-ORG, B-ORG,
de, SP I, I-ORG,
Fomento, NC I-ORG, I-ORG,
en, SP O, O,
la, DA O, O,
entrega, NC O, O,
de, SP O, O,
las, DA O, O,
llaves, NC O, O,
de, SP O, O,
las, DA O, O,
viviendas, NC O, O,
a, SP , O,
sus, DP O, O,
legitimos, AQ O, O,
propietarios, NC O, O,
ya, RG O, O,
que, CS O, O,
han, VAI O, O,
transcurrido, VMP O, O,
mas, RG O, O,
de, SP O, O,
dos, DN O, O,
meses, NC O, O,
desde, SP O, O,
que, PR O, O,
se, P0 O, O,
resolviera, VMS O, O,
el, DA O, O,
concurso, NC O, O,
de, SP O, O,
adjudicacion, NC O, O,
., Fp , O,

La, DA O, O,
demora, NC O, O,
fue, VSI O, O,
aprovechada, AQ O, O,
por, SP O, O,
una, DI O, O,
familia, NC O, O,
de, SP O, O,
la, DA O, O,
comunidad, NC O, O,
gitana, AQ O, O,
que, PR O, O,
reside, VMI O, O,
en, SP O, O,
la, DA O, O,
localidad, NC O, O,
para, SP O, O,
ocupar, VMN O, O,
una, DI O, O,
de, SP O, O,
las, DA O, O,
viviendas, NC O, O,
vacias, AQ O, O,
., Fc , O,
lo, DA O, O,
que, PR O, O,
origino, VMI O, O,
un, DI O, O,
nuevo, AQ O, O,
conflicto, NC O, O,
social, AQ O, O,
despues, RG O, O,
de, SP O, O,
los, DA O, O,
problemas, NC O, O,
de, SP O, O,
convivencia, NC O, O,
surgidos, AQ O, O,
hace, VMI O, O,
unas, DI O, O,
semanas, NC O, O,
entre, SP O, O,
los, DA O, O,
vecinos, NC O, O,
., Fc , O,
que, PR O, O,
llegaron, VMI O, O,
a, SP , O,
exigir, VMN O, O,
el, DA O, O,
destierro, NC O, O,
de, SP O, O,
varios, DI O, O,
jovenes, NC O, O,
conflictivos, AQ O, O,
., Fp , O,

El, DA O, O,
alcalde, NC O, O,
apunto, VMI O, O,
que, CS O, O,
la, DA O, O,
Junta, NC B-OR, B-ORG,
Local, AQ I-OR, I-ORG,
de, SP I, I-ORG,
Seguridad, NC I-ORG, I-ORG,
acordo, VMI O, O,
la, DA O, O,
intervencion, NC O, O,
de, SP O, O,
la, DA O, O,
Policia, NC B-ORG, B-ORG,
Local, AQ I-OR, I-ORG,
y, CC , O,
la, DA O, O,
Guardia, NC B-ORG, B-ORG,
Civil, AQ I-OR, I-ORG,
para, SP O, O,
", Fe , O,
candar, VMN O, O,
y, CC , O,
precintar, VMN O, O,
", Fe , O,
la, DA O, O,
vivienda, NC O, O,
en, SP O, O,
un, DI O, O,
momento, NC O, O,
en, SP O, O,
que, CS O, O,
los, DA O, O,
integrantes, AQ O, O,
de, SP O, O,
la, DA O, O,
familia, NC O, O,
no, RN O, O,
se, P0 O, O,
encontraban, VMI O, O,
en, SP O, O,
su, DP O, O,
interior, NC O, O,
., Fp , O,

El, DA O, O,
Ayuntamiento, NC B-ORG, B-ORG,
de, SP I, I-ORG,
Arevalo, NC I-ORG, I-ORG,
ha, VAI O, O,
dado, VMP O, O,
traslado, NC O, O,
a, SP , O,
la, DA O, O,
Delegacion, NC B-ORG, B-ORG,
Territorial, AQ I-ORG, I-ORG,
de, SP I, I-ORG,
la, DA I, I-ORG,
Junta, NC I-OR, I-ORG,
de, SP O, O,
la, DA O, O,
", Fe , O,
preocupacion, NC O, O,
e, CC , O,
inquietud, NC O, O,
", Fe , O,
ha, VAI O, O,
causado, VMP O, O,
esta, DD O, O,
circunstancia, NC O, O,
., Fc , O,
que, PR O, O,
podria, VMI O, O,
repetirse, VMN O, O,
si, CS O, O,
la, DA O, O,
entrega, NC O, O,
de, SP O, O,
llaves, NC O, O,
no, RN O, O,
se, P0 O, O,
produce, VMI O, O,
de, SP O, O,
manera, NC O, O,
inmediata, AQ O, O,
., Fc , O,
por, SP O, O,
lo, DA O, O,
que, PR O, O,
la, DA O, O,
Guardia, NC B-ORG, B-ORG,
